,T,U,V,W,U Avg,V Avg,W Avg,U',V',W'
0,0.0,0.2802255338302544,3.5124523678551824,4.482481872280842,1.7820136080922045e-13,4.6990743324064305e-15,-9.898456899253383e-16,0.2802255338300762,3.5124523678551776,4.482481872280843
1,0.01,0.7902255338302524,2.412452367855183,3.452481872280842,,,,0.7902255338300742,2.412452367855178,3.452481872280843
2,0.02,-3.6997744661697496,3.9224523678551826,0.392481872280842,,,,-3.6997744661699277,3.9224523678551777,0.392481872280843
3,0.03,-1.5097744661697448,4.892452367855182,2.6924818722808417,,,,-1.509774466169923,4.892452367855178,2.6924818722808426
4,0.04,1.1102255338302527,4.572452367855183,11.412481872280843,,,,1.1102255338300744,4.5724523678551785,11.412481872280845
5,0.05,-0.1997744661697496,4.732452367855183,7.052481872280842,,,,-0.19977446616992778,4.732452367855179,7.0524818722808424
6,0.06,-1.6797744661697465,1.6424523678551828,6.582481872280842,,,,-1.6797744661699248,1.6424523678551781,6.582481872280843
7,0.07,-0.1997744661697496,0.5724523678551828,5.902481872280842,,,,-0.19977446616992778,0.5724523678551782,5.902481872280843
8,0.08,-1.2797744661697479,0.052452367855182924,3.802481872280842,,,,-1.2797744661699262,0.05245236785517823,3.802481872280843
9,0.09,0.05022553383025041,0.24245236785518298,3.642481872280842,,,,0.05022553383007221,0.2424523678551783,3.6424818722808427
10,0.1,0.8402255338302496,0.07245236785518283,1.8824818722808419,,,,0.8402255338300714,0.07245236785517813,1.8824818722808427
11,0.11,1.0102255338302513,-0.31754763214481707,1.792481872280842,,,,1.010225533830073,-0.3175476321448218,1.7924818722808429
12,0.12,-1.7597744661697448,-0.047547632144817165,0.232481872280842,,,,-1.759774466169923,-0.04754763214482186,0.232481872280843
13,0.13,0.9102255338302498,-0.11754763214481712,-2.507518127719158,,,,0.9102255338300717,-0.11754763214482182,-2.507518127719157
14,0.14,2.460225533830254,0.1524523678551829,-0.7675181277191581,,,,2.460225533830076,0.1524523678551782,-0.7675181277191571
15,0.15,1.700225533830249,-0.14754763214481714,-1.947518127719158,,,,1.7002255338300707,-0.14754763214482183,-1.947518127719157
16,0.16,2.3002255338302504,-0.5475476321448172,-1.147518127719158,,,,2.3002255338300723,-0.5475476321448218,-1.147518127719157
17,0.17,0.3602255338302527,-0.8375476321448171,-1.497518127719158,,,,0.3602255338300745,-0.8375476321448218,-1.4975181277191572
18,0.18,0.9102255338302498,-0.9575476321448171,0.12248187228084195,,,,0.9102255338300717,-0.9575476321448217,0.12248187228084294
19,0.19,-0.05977446616974902,-1.207547632144817,0.612481872280842,,,,-0.05977446616992722,-1.2075476321448217,0.612481872280843
20,0.2,0.7902255338302524,-1.6675476321448173,0.41248187228084193,,,,0.7902255338300742,-1.667547632144822,0.41248187228084293
21,0.21,1.2402255338302552,-2.9175476321448173,0.782481872280842,,,,1.240225533830077,-2.917547632144822,0.782481872280843
22,0.22,-0.3797744661697493,-3.2475476321448173,2.5924818722808416,,,,-0.3797744661699275,-3.2475476321448222,2.5924818722808425
23,0.23,-1.8397744661697502,-3.1275476321448172,-2.7075181277191582,,,,-1.8397744661699285,-3.127547632144822,-2.7075181277191573
24,0.24,1.180225533830253,-2.2275476321448173,0.812481872280842,,,,1.1802255338300747,-2.227547632144822,0.812481872280843
25,0.25,1.5402255338302524,-2.447547632144817,0.9724818722808419,,,,1.540225533830074,-2.447547632144822,0.9724818722808429
26,0.26,1.0302255338302544,-2.067547632144817,4.852481872280841,,,,1.030225533830076,-2.067547632144822,4.852481872280842
27,0.27,-0.08977446616975016,-1.477547632144817,1.472481872280842,,,,-0.08977446616992836,-1.4775476321448218,1.4724818722808428
28,0.28,2.950225533830249,-1.4875476321448171,-10.597518127719157,,,,2.950225533830071,-1.4875476321448218,-10.597518127719155
29,0.29,1.430225533830253,-1.477547632144817,-4.557518127719158,,,,1.4302255338300747,-1.4775476321448218,-4.557518127719157
30,0.3,1.950225533830249,-1.447547632144817,-0.7775181277191581,,,,1.9502255338300707,-1.4475476321448217,-0.7775181277191571
31,0.31,2.680225533830253,-1.7575476321448171,0.392481872280842,,,,2.680225533830075,-1.7575476321448218,0.392481872280843
32,0.32,3.1102255338302527,-2.107547632144817,2.072481872280842,,,,3.1102255338300746,-2.107547632144822,2.072481872280843
33,0.33,2.940225533830251,-2.657547632144817,-0.24751812771915804,,,,2.940225533830073,-2.657547632144822,-0.24751812771915704
34,0.34,0.7202255338302521,-1.447547632144817,-0.667518127719158,,,,0.7202255338300739,-1.4475476321448217,-0.667518127719157
35,0.35,3.0402255338302524,-1.6675476321448173,-0.347518127719158,,,,3.0402255338300743,-1.667547632144822,-0.347518127719157
36,0.36,4.370225533830251,-2.1875476321448173,0.332481872280842,,,,4.370225533830072,-2.187547632144822,0.33248187228084297
37,0.37,2.6102255338302527,-2.6275476321448172,4.672481872280842,,,,2.6102255338300746,-2.627547632144822,4.6724818722808426
38,0.38,-4.789774466169746,-1.7775476321448171,6.882481872280842,,,,-4.789774466169924,-1.7775476321448218,6.8824818722808425
39,0.39,-1.0897744661697502,-2.197547632144817,5.772481872280842,,,,-1.0897744661699285,-2.197547632144822,5.772481872280843
40,0.4,-2.9497744661697496,-1.9875476321448171,6.322481872280842,,,,-2.9497744661699277,-1.9875476321448218,6.322481872280843
41,0.41,-4.309774466169749,-3.7875476321448174,5.022481872280842,,,,-4.3097744661699275,-3.7875476321448223,5.022481872280843
42,0.42,-2.6597744661697504,-2.177547632144817,4.652481872280842,,,,-2.6597744661699285,-2.177547632144822,4.652481872280843
43,0.43,1.4002255338302518,-1.0075476321448171,-0.7875181277191581,,,,1.4002255338300735,-1.0075476321448218,-0.7875181277191571
44,0.44,-0.6297744661697493,-1.5875476321448172,1.9324818722808421,,,,-0.6297744661699275,-1.5875476321448219,1.932481872280843
45,0.45,-1.039774466169746,0.8924523678551829,-0.977518127719158,,,,-1.0397744661699242,0.8924523678551782,-0.977518127719157
46,0.46,-5.01977446616975,-1.7775476321448171,-0.417518127719158,,,,-5.019774466169928,-1.7775476321448218,-0.41751812771915703
47,0.47,-0.8397744661697502,-1.6875476321448173,-1.337518127719158,,,,-0.8397744661699283,-1.687547632144822,-1.337518127719157
48,0.48,-1.549774466169751,-2.137547632144817,-0.37751812771915805,,,,-1.5497744661699293,-2.137547632144822,-0.37751812771915705
49,0.49,-2.049774466169751,-1.207547632144817,-2.397518127719158,,,,-2.049774466169929,-1.2075476321448217,-2.3975181277191573
50,0.5,-1.799774466169751,-1.6675476321448173,-1.387518127719158,,,,-1.7997744661699293,-1.667547632144822,-1.387518127719157
51,0.51,0.7102255338302541,2.1924523678551826,-10.097518127719157,,,,0.7102255338300759,2.1924523678551777,-10.097518127719155
52,0.52,-0.549774466169751,0.2624523678551828,-5.7375181277191585,,,,-0.5497744661699292,0.26245236785517806,-5.737518127719158
53,0.53,2.73022553383025,2.0424523678551827,-1.517518127719158,,,,2.730225533830072,2.042452367855178,-1.5175181277191572
54,0.54,3.5502255338302504,2.0424523678551827,-2.3675181277191584,,,,3.5502255338300723,2.042452367855178,-2.3675181277191575
55,0.55,3.3202255338302535,1.5624523678551827,-1.987518127719158,,,,3.3202255338300755,1.562452367855178,-1.9875181277191571
56,0.56,3.210225533830254,1.2924523678551827,-2.757518127719158,,,,3.210225533830076,1.292452367855178,-2.757518127719157
57,0.57,2.48022553383025,1.0824523678551827,-2.937518127719158,,,,2.480225533830072,1.082452367855178,-2.9375181277191573
